ID	race	Z	P	FDR	beta	se	z	p	fdr	Consistent_direction
seq.2843.13	CAU	5.71	1.16e-08	1.444925e-06	0.0233150047461504	0.00389269960343107	5.98941791593687	2.10593384871384e-09	2.00063715627815e-07	TRUE
seq.17350.13	CAU	9.84	7.58e-23	3.776735e-20	0.0510691040120007	0.0093633664307077	5.45413921263582	4.92106390170678e-08	2.33750535331072e-06	TRUE
seq.4153.11	CAU	6.69	2.18e-11	4.82748888888889e-09	0.0166120665178077	0.00322139225974574	5.15679717909264	2.51209650528299e-07	7.95497226672947e-06	TRUE
seq.11278.4	CAU	-3.24	0.00118	0.0351005970149254	-0.0185185896396412	0.0042107510714027	-4.39793028027948	1.09288071480125e-05	0.000259559169765297	TRUE
seq.9880.33	CAU	-5.84	5.33e-09	7.08179333333333e-07	-0.025016365323755	0.00577433208623119	-4.33233921260021	1.47533401123421e-05	0.0002803134621345	TRUE
seq.4330.4	CHN	9.35	8.74e-21	3.54844e-18	0.0933327212291988	0.0221599078937018	4.21178290437414	2.53362984778275e-05	0.000391149100794134	TRUE
seq.5762.35	CAU	-6.52	7.17e-11	1.428981e-08	-0.0399264782453325	0.00954588913107685	-4.1825834866813	2.88215126900941e-05	0.000391149100794134	TRUE
seq.14091.42	CAU	-5.08	3.79e-07	3.14727916666667e-05	-0.00828738976884474	0.00200474465225542	-4.13388795402002	3.566774130628e-05	0.000423554428012075	TRUE
seq.3479.71	CAU	-6.05	1.42e-09	2.17696923076923e-07	-0.018736336449954	0.00461780653772993	-4.05741043867216	4.96198358414475e-05	0.000523764933881946	TRUE
seq.3066.12	CAU	4.09	4.39e-05	0.00230243947368421	0.0122541866434205	0.00315637595614561	3.88235964716466	0.000103447725962061	0.00098275339663958	TRUE
seq.10620.21	CAU	-35.4	1.8e-274	3.5874e-271	-7.93618609795896	2.07213161050086	-3.82996237195603	0.000128162855176521	0.00110686102197905	TRUE
seq.25964.12	CAU	5.14	2.69e-07	2.43689545454545e-05	0.00965644197400882	0.00255739665570079	3.77588746449765	0.000159438967973809	0.00126222516312599	TRUE
seq.21940.12	CAU	3.71	0.000205	0.00907922222222222	0.00736890849882505	0.00197523014875168	3.7306581734195	0.000190980196873202	0.0013396802060002	TRUE
seq.8794.13	CAU	4.74	2.09e-06	0.000154272962962963	0.00872919483596893	0.00234511610797617	3.72228684382805	0.000197426556673714	0.0013396802060002	TRUE
seq.8068.43	CAU	4.41	1.06e-05	0.000704193333333333	0.0171654745745223	0.00467491596756849	3.671825267792	0.000240824320138242	0.00152522069420887	TRUE
seq.8468.19	HIS	5.63	1.8e-08	8.34e-06	0.100576686029909	0.027576891040099	3.6471365058397	0.000265179062594512	0.00156754184720375	TRUE
seq.14208.3	CAU	4.12	3.78e-05	0.00203609189189189	0.0143394790803802	0.00394737011441981	3.63266647533199	0.000280507488446987	0.00156754184720375	TRUE
seq.6431.68	CAU	-3.62	0.000289	0.0125212391304348	-0.00910941207962346	0.00253621014536528	-3.59174183427591	0.000328475166023535	0.00173361893179088	TRUE
seq.10620.21	AFA	-7.52	5.48e-14	8.64744e-11	0.00743188384439421	0.00211041660343528	3.52152453325887	0.000429072962881454	0.00214536481440727	FALSE
seq.10890.135	CAU	-3.56	0.000377	0.0141766226415094	-0.032075899201562	0.00928530407472604	-3.45448021340199	0.000551354672260479	0.00260566734458944	TRUE
seq.13723.6	CAU	3.35	0.000802	0.0262030491803279	0.0113112501724556	0.0032855985391772	3.44267567616105	0.000575989623540824	0.00260566734458944	TRUE
seq.21322.60	CAU	-3.75	0.000175	0.00830416666666667	-0.00831246917112228	0.0024235530831713	-3.42986882723656	0.000603873103355965	0.00260763385540076	TRUE
seq.16616.137	CAU	3.8	0.000145	0.00704841463414634	0.0180334866041612	0.00528331500919969	3.41329005988852	0.000641835890748261	0.00265106128787325	TRUE
seq.5102.55	CAU	4.29	1.78e-05	0.00105511764705882	0.0145779781681152	0.00434338492914077	3.35636339075271	0.000789747258023143	0.00312608289634161	TRUE
seq.12422.143	CHN	-3.64	0.000268	0.031059	-0.0398114502284071	0.0119120145691411	-3.34212571663079	0.00083139396252375	0.00315929705759025	TRUE
seq.18432.32	CAU	3.22	0.0013	0.0381014705882353	0.0148882631883069	0.00458459241153069	3.24745622988458	0.00116441572589697	0.00425459592154662	TRUE
seq.5509.7	AFA	-4.61	4.05e-06	0.00319545	-0.0190582738203298	0.00592254828169366	-3.21791784783556	0.00129124795827376	0.00440513538739138	TRUE
seq.8007.19	CAU	-3.12	0.00183	0.0499615068493151	-0.00873669715156493	0.00271634500878088	-3.21634296207684	0.00129835569312588	0.00440513538739138	TRUE
seq.19237.17	CAU	-4.36	1.3e-05	0.000835774193548387	-0.0154184113926995	0.00483924666166064	-3.18611810281406	0.00144195720391856	0.00472365290938839	TRUE
seq.9577.26	CAU	-3.36	0.000768	0.025942779661017	-0.0172909727682695	0.00547015866202621	-3.1609636642358	0.00157248113155501	0.00497952358325753	TRUE
seq.2692.74	CAU	3.61	0.000306	0.0128714583333333	0.00622962349907936	0.00198100019612094	3.14468595776911	0.00166265204891621	0.00509522402087226	TRUE
